date,x,y,z
2024-03-22 21:16:16.583259,2.39,-9.45,0.49
2024-03-22 21:16:17.262758,-0.26,-10.42,0.47
2024-03-22 21:16:18.462951,3.2,-9.23,0.92
2024-03-22 21:16:19.554112,1.97,-9.25,-1.9
2024-03-22 21:16:20.265018,2.59,-9.42,0.06
2024-03-22 21:16:21.312772,2.9,-9.3,0.29
2024-03-22 21:16:22.528336,2.52,-9.43,-2.08
2024-03-22 21:16:23.259309,3.88,-8.94,0.59
2024-03-22 21:16:24.290579,3.98,-8.95,0.17
2024-03-22 21:16:25.502654,2.08,-9.63,-0.24
