date,x,y,z
2024-03-22 20:54:52.323379,9.33,0.39,2.87
2024-03-22 20:54:53.323008,9.14,0.45,3.52
2024-03-22 20:54:54.333638,9.11,0.4,3.57
2024-03-22 20:54:55.322477,9.29,0.4,3.52
2024-03-22 20:54:56.325865,9.24,0.38,3.21
2024-03-22 20:54:57.445039,9.3,0.36,2.91
2024-03-22 20:54:58.423252,9.76,-0.15,0.02
2024-03-22 20:54:59.383372,9.56,-0.29,-1.76
2024-03-22 20:55:00.405697,8.9,-0.54,-3.82
2024-03-22 20:55:01.324004,8.32,-0.65,-5.0
2024-03-22 20:55:02.349607,8.44,-0.63,-4.83
